FromCustomerId;ToCustomerId;AffiliationStatus;MainAddressFlag;Position
001P4000004ZkCqIAK;001P4000004YdqEIAS;ACT;true;
001P4000004ZvUIIA0;001P4000004Z9TDIA0;INA;false;
001P4000004ZvUIIA0;001P4000004YAnlIAG;ACT;true;
001P4000004Zqd1IAC;001P4000004YcJ3IAK;ACT;false;
001P4000004ZqcxIAC;001P4000004YfMrIAK;ACT;true;
001P4000004ZoilIAC;001P4000004YfaAIAS;ACT;true;
001P4000004ZqBnIAK;001P4000004YFU8IAO;ACT;true;
001P4000004ZvMhIAK;001P4000004ZPvwIAG;ACT;true;
001P4000004ZqIdIAK;001P4000004YLxjIAG;INA;false;
001P4000004ZqIdIAK;001P4000004YaBjIAK;ACT;true;
001P4000004ZqP4IAK;001P4000004YgUZIA0;INA;false;
001P4000004Zp15IAC;001P4000004YodlIAC;ACT;false;
001P4000004Zp7JIAS;001P4000004ZIl5IAG;ACT;true;
001P4000004ZpB0IAK;001P4000004YGq3IAG;ACT;false;
001P4000004ZhLIIA0;001P4000004YnliIAC;INA;false;
001P4000004ZhLIIA0;001P4000004YorOIAS;ACT;true;
001P4000004ZpxQIAS;001P4000004ZJsyIAG;ACT;true;
001P4000004Zso8IAC;001P4000004Z4rkIAC;ACT;true;
001P4000004Zn73IAC;001P4000004Yem4IAC;INA;false;
001P4000004Zn73IAC;001P4000004YeBUIA0;ACT;true;
001P4000004Zn7BIAS;001P4000004Yg6IIAS;ACT;false;
001P4000004Zmk3IAC;001P4000004YuCHIA0;ACT;true;
001P4000004Zmk3IAC;001P4000004YHmLIAW;INA;false;
001P4000004Zz6cIAC;001P4000004YaiKIAS;ACT;false;
001P4000004Zo27IAC;001P4000004Z2vwIAC;ACT;true;
001P4000004Zo2CIAS;001P4000004YRGyIAO;ACT;false;
001P4000004ZyrrIAC;001P4000004ZBunIAG;ACT;true;
001P4000004ZknqIAC;001P4000004YgqlIAC;ACT;false;
001P4000004ZixXIAS;001P4000004Z5hRIAS;INA;false;
001P4000004ZvKhIAK;001P4000004Z5O4IAK;ACT;true;
001P4000004ZtGHIA0;001P4000004ZJNmIAO;ACT;true;
001P4000004ZhM3IAK;001P4000004ZPWpIAO;ACT;true;
001P4000004ZndOIAS;001P4000004YiqzIAC;ACT;true;
001P4000004Zrz5IAC;001P4000004YEbAIAW;ACT;false;
001P4000004ZixXIAS;001P4000004YnVWIA0;ACT;true;
001P4000004ZfRrIAK;001P4000004ZFeqIAG;ACT;false;
001P4000004ZyDcIAK;001P4000004ZBuvIAG;ACT;true;
001P4000004a2pGIAQ;001P4000004ZPvwIAG;ACT;true;
001P4000004ZqQRIA0;001P4000004YTgbIAG;ACT;true;
001P4000004ZzhUIAS;001P4000004Z35cIAC;ACT;false;
001P4000004ZzhUIAS;001P4000004YPebIAG;ACT;true;
001P4000004ZyuKIAS;001P4000004ZBYqIAO;ACT;true;
001P4000004ZzBlIAK;001P4000004YZZ8IAO;ACT;true;
001P4000004a0FlIAI;001P4000004ZQn6IAG;ACT;true;
001P4000004Zz7HIAS;001P4000004YT2OIAW;ACT;true;
001P4000004a18LIAQ;001P4000004Yv0FIAS;ACT;true;
001P4000004a0sPIAQ;001P4000004ZBhcIAG;ACT;true;
001P4000004a12PIAQ;001P4000004YWY4IAO;ACT;true;
001P4000004a1YMIAY;001P4000004ZTrOIAW;ACT;true;
001P4000004ZwFqIAK;001P4000004YRAYIA4;ACT;true;
001P4000004ZtjLIAS;001P4000004ZQU7IAO;ACT;true;
001P4000004a1qcIAA;001P4000004YknvIAC;INA;false;
001P4000004a1qcIAA;001P4000004YWclIAG;ACT;true;
001P4000004a41DIAQ;001P4000004YXRSIA4;ACT;true;
001P4000004a5BwIAI;001P4000004Ym1gIAC;ACT;true;
001P4000004ZyUUIA0;001P4000004YfKKIA0;ACT;true;
001P4000004a3wWIAQ;001P4000004ZVmqIAG;ACT;true;
001P4000004a2LJIAY;001P4000004YPkAIAW;ACT;true;
001P4000004a00aIAA;001P4000004YSpdIAG;ACT;true;
001P4000004ZyXQIA0;001P4000004YfVlIAK;ACT;true;
001P4000004a10UIAQ;001P4000004ZBhYIAW;ACT;true;
001P4000004a3F0IAI;001P4000004YpXbIAK;ACT;true;
001P4000004Zz4FIAS;001P4000004Z3TsIAK;ACT;true;
001P4000004a2LJIAY;001P4000004YOe3IAG;INA;false;
001P4000004a5y2IAA;001P4000004YZUPIA4;ACT;true;
001P4000004a6OAIAY;001P4000004YREqIAO;INA;false;
001P4000004ZwIyIAK;001P4000004YOxQIAW;ACT;true;
001P4000004a3BsIAI;001P4000004YjUsIAK;ACT;false;
001P4000004a3BsIAI;001P4000004YIDfIAO;ACT;true;
001P4000004a5n5IAA;001P4000004Yaw4IAC;ACT;false;
001P4000006qaK9IAI;001P4000004YTFNIA4;ACT;true;
001P4000007U9A7IAK;001P4000004YUzuIAG;ACT;true;
001P4000004ZyydIAC;001P4000004YzvJIAS;INA;false;
001P4000004a8KvIAI;001P4000004YM8wIAG;ACT;true;
001P4000004a9FPIAY;001P4000004YkXyIAK;ACT;false;
001P4000004a2SxIAI;001P4000004YHaoIAG;ACT;false;
001P4000004ZxQ1IAK;001P4000004YIFaIAO;ACT;true;
001P4000004a4UlIAI;001P4000004YKBuIAO;ACT;true;
001P4000004a2sHIAQ;001P4000004YiGpIAK;ACT;true;
001P4000004a4miIAA;001P4000004YoRnIAK;ACT;true;
001P4000004a4nFIAQ;001P4000004YcK1IAK;ACT;true;
001P4000004Zz7sIAC;001P4000004Z4rcIAC;ACT;true;
001P4000004a8oCIAQ;001P4000004YOnPIAW;ACT;true;
001P4000004a6UiIAI;001P4000004YkUMIA0;ACT;true;
001P4000004a9UCIAY;001P4000004YQfTIAW;INA;false;
001P4000004a88WIAQ;001P4000004YfKKIA0;ACT;false;
001P4000004a3noIAA;001P4000004Z4lOIAS;ACT;true;
001P4000004a8gXIAQ;001P4000004Z3TsIAK;ACT;true;
001P4000004a6rRIAQ;001P4000004YOrLIAW;ACT;false;
001P4000004Zye8IAC;001P4000004YPd2IAG;ACT;true;
001P4000004a4VtIAI;001P4000004YNTFIA4;ACT;true;
001P4000004a3dAIAQ;001P4000004ZIl5IAG;ACT;true;
001P4000004aAhsIAE;001P4000004YMH9IAO;INA;false;
001P4000004aAhsIAE;001P4000004YGq8IAG;ACT;true;
001P4000004a6mlIAA;001P4000004YcbOIAS;ACT;true;
001P4000004a6mlIAA;001P4000004YMywIAG;ACT;false;
001P4000004a8n5IAA;001P4000004Z08fIAC;ACT;true;
001P4000004a9h9IAA;001P4000004ZSKNIA4;ACT;true;
001P4000004a9hAIAQ;001P4000004ZSKNIA4;ACT;true;
001P4000004a9hBIAQ;001P4000004ZSKNIA4;ACT;true;
001P4000004a9lzIAA;001P4000004ZSKNIA4;ACT;true;
001P4000004a9m0IAA;001P4000004ZSKNIA4;ACT;true;
001P4000004a9m1IAA;001P4000004ZSKNIA4;ACT;true;
001P4000004a9m4IAA;001P4000004ZSKNIA4;ACT;true;
001P4000004a9m5IAA;001P4000004ZSKNIA4;ACT;true;
001P4000004ZzU8IAK;001P4000004ZJbsIAG;INA;false;
001P4000004ZzU8IAK;001P4000004YSpLIAW;ACT;true;
001P4000004aCITIA2;001P4000004YkXyIAK;ACT;false;
001P4000004aBpCIAU;001P4000004YpvWIAS;ACT;true;
001P4000004aBpCIAU;001P4000004YfYLIA0;INA;false;
001P4000004aDshIAE;001P4000004YkgdIAC;ACT;true;
001P4000004aCR9IAM;001P4000004YEbAIAW;ACT;false;
001P4000004aDuNIAU;001P4000004YMXdIAO;ACT;true;
001P4000004aCa9IAE;001P4000004ZJNmIAO;ACT;true;
001P4000004aDhWIAU;001P4000004YPUlIAO;ACT;true;
001P4000004a8HAIAY;001P4000004YlDcIAK;ACT;true;
001P4000004aBBHIA2;001P4000004YEWHIA4;INA;false;
001P4000004aBBHIA2;001P4000004YaobIAC;ACT;true;
001P4000004aG0sIAE;001P4000004ZPirIAG;ACT;false;
001P4000004a5DhIAI;001P4000004YiZIIA0;ACT;true;
001P4000004aCxIIAU;001P4000004YhiLIAS;ACT;false;
001P4000004aBmbIAE;001P4000004ZM69IAG;ACT;false;
001P4000004aBmbIAE;001P4000004Z1CPIA0;ACT;true;
001P4000004aA2cIAE;001P4000004YgArIAK;ACT;false;
001P4000004aF6UIAU;001P4000004YgJ9IAK;ACT;true;
001P4000004aHksIAE;001P4000004YM14IAG;ACT;true;
001P4000004a7P6IAI;001P4000004YWFFIA4;ACT;true;
001P4000005R8BcIAK;001P4000004YXrIIAW;ACT;true;
001P4000004aCR9IAM;001P4000004YEb7IAG;ACT;false;
001P4000004aJWhIAM;001P4000004YjLeIAK;ACT;false;
001P4000004aJWhIAM;001P4000004Ym9jIAC;ACT;false;
001P4000004aEFjIAM;001P4000004YjRwIAK;ACT;true;
001P4000004aFjOIAU;001P4000004ZPirIAG;ACT;false;
001P4000004aFjcIAE;001P4000004Z2FDIA0;ACT;true;
001P4000004aISoIAM;001P4000004YemHIAS;ACT;false;
001P4000004aHN1IAM;001P4000004Yl1gIAC;ACT;true;
001P4000004aExRIAU;001P4000004YqejIAC;ACT;true;
001P4000004aFzNIAU;001P4000004YDtcIAG;ACT;true;
001P4000004aGLLIA2;001P4000004YjGdIAK;ACT;true;
001P4000004aK4SIAU;001P4000004YfMrIAK;ACT;true;
001P4000004aIuYIAU;001P4000004YSTSIA4;ACT;true;
001P4000004aA6iIAE;001P4000004Z3YLIA0;ACT;true;
001P4000004aIyqIAE;001P4000004ZRKvIAO;ACT;true;
001P4000004aEehIAE;001P4000004ZKbwIAG;ACT;false;
001P4000004aJOdIAM;001P4000004YQfQIAW;ACT;true;
001P4000004aG0TIAU;001P4000004ZI5RIAW;ACT;true;
001P4000004aECfIAM;001P4000004YQasIAG;ACT;false;
001P4000004a8kHIAQ;001P4000004YQasIAG;ACT;false;
001P4000004aHUuIAM;001P4000004YdqEIAS;ACT;true;
001P4000004aE7vIAE;001P4000004Z1KlIAK;ACT;true;
001P4000004aHavIAE;001P4000004YgD2IAK;ACT;false;
001P4000004aGqrIAE;001P4000004YdqEIAS;ACT;true;
001P4000004aGquIAE;001P4000004YdqEIAS;ACT;false;
